num;question;a;b;c;d;solution
137;Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?;das Familiengericht;das Strafgericht;das Arbeitsgericht;das Amtsgericht;c
138;Was kann ich in Deutschland machen, wenn mir mein Arbeitgeber / meine Arbeitgeberin zu Unrecht gekündigt hat?;weiter arbeiten und freundlich zum Chef / zur Chefin sein;ein Mahnverfahren gegen den Arbeitgeber / die Arbeitgeberin führen;Kündigungsschutzklage erheben;den Arbeitgeber / die Arbeitgeberin bei der Polizei anzeigen;c
139;Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...;zu einer anderen Religion übertritt.;eine Straftat begangen hat und angeklagt wird.;eine andere Meinung als die der Regierung vertritt.;sein Auto falsch geparkt hat und es abgeschleppt wird.;b
140;Was macht ein Schöffe / eine Schöffin in Deutschland? Er / Sie ...;entscheidet mit Richtern / Richterinnen über Schuld und Strafe.;gibt Bürgern / Bürgerinnen rechtlichen Rat.;stellt Urkunden aus.;verteidigt den Angeklagten / die Angeklagte.;a
141;Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?;ein Rechtsanwalt / eine Rechtsanwältin;ein Richter / eine Richterin;ein Schöffe / eine Schöffin;ein Staatsanwalt / eine Staatsanwältin;a
142;Was ist die Hauptaufgabe eines Richters / einer Richterin in Deutschland? Ein Richter / eine Richterin ...;vertritt Bürger und Bürgerinnen vor einem Gericht.;arbeitet an einem Gericht und spricht Urteile.;ändert Gesetze.;betreut Jugendliche vor Gericht.;b
143;Ein Richter / eine Richterin in Deutschland gehört zur ...;Judikative.;Exekutive.;Operative.;Legislative.;a
144;Ein Richter / eine Richterin gehört in Deutschland zur ...;vollziehenden Gewalt.;rechtsprechenden Gewalt.;planenden Gewalt.;gesetzgebenden Gewalt.;b
145;In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet ein Richter / eine Richterin? Für die ...;Judikative.;Exekutive.;Presse.;Legislative.;a
146;Wie nennt man in Deutschland ein Verfahren vor einem Gericht?;Programm;Prozedur;Protokoll;Prozess;d
147;Was ist die Arbeit eines Richters / einer Richterin in Deutschland?;Deutschland regieren;Recht sprechen;Pläne erstellen;Gesetze erlassen;b
148;Was ist eine Aufgabe der Polizei in Deutschland?;das Land zu verteidigen;die Bürgerinnen und Bürger abzuhören;die Gesetze zu beschließen;die Einhaltung von Gesetzen zu überwachen;d
149;Wer kann Gerichtsschöffe / Gerichtsschöffin in Deutschland werden?;alle in Deutschland geborenen Einwohner / Einwohnerinnen über 18 Jahre;alle deutschen Staatsangehörigen älter als 24 und jünger als 70 Jahre;alle Personen, die seit mindestens 5 Jahren in Deutschland leben;nur Personen mit einem abgeschlossenen Jurastudium;b
150;Ein Gerichtsschöffe / eine Gerichtsschöffin in Deutschland ist ...;der Stellvertreter / die Stellvertreterin des Stadtoberhaupts.;ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.;ein Mitglied eines Gemeinderats.;eine Person, die Jura studiert hat.;b
151;Wer baute die Mauer in Berlin?;Großbritannien;die Bundesrepublik Deutschland;die DDR;die USA;c
152;Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?;1918 bis 1923;1932 bis 1950;1933 bis 1945;1945 bis 1989;c
153;Was war am 8. Mai 1945?;Tod Adolf Hitlers;Beginn des Berliner Mauerbaus;Wahl von Konrad Adenauer zum Bundeskanzler;Ende des Zweiten Weltkriegs in Europa;d
154;Wann war der Zweite Weltkrieg zu Ende?;1933;1945;1949;1961;b
155;Wann waren die Nationalsozialisten in Deutschland an der Macht?;1888 bis 1918;1921 bis 1934;1933 bis 1945;1949 bis 1963;c
156;In welchem Jahr wurde Hitler Reichskanzler?;1923;1927;1933;1936;c
157;Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland ...;eine Diktatur.;einen demokratischen Staat.;eine Monarchie.;ein Fürstentum.;a
158;Das „Dritte Reich“ war eine ...;Diktatur.;Demokratie.;Monarchie.;Räterepublik.;a
159;Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?;freie Wahlen;Pressezensur;willkürliche Verhaftungen;Verfolgung der Juden;a
160;Welcher Krieg dauerte von 1939 bis 1945?;der Erste Weltkrieg;der Zweite Weltkrieg;der Vietnamkrieg;der Golfkrieg;b
161;Was kennzeichnete den NS-Staat? Eine Politik ...;des staatlichen Rassismus;der Meinungsfreiheit;der allgemeinen Religionsfreiheit;der Entwicklung der Demokratie;a
162;Claus Schenk Graf von Stauffenberg wurde bekannt durch ...;eine Goldmedaille bei den Olympischen Spielen 1936.;den Bau des Reichstagsgebäudes.;den Aufbau der Wehrmacht.;das Attentat auf Hitler am 20. Juli 1944.;d
163;In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?;1925;1930;1938;1945;c
164;Was passierte am 9. November 1938 in Deutschland?;Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.;Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf.;Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.;Hitler wird Reichspräsident und lässt alle Parteien verbieten.;c
165;Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer;Kurt Georg Kiesinger;Helmut Schmidt;Willy Brandt;a
166;Bei welchen Demonstrationen in Deutschland riefen die Menschen „Wir sind das Volk“?;bei den Montagsdemonstrationen 1989 in der DDR;beim Arbeiteraufstand 1953 in der DDR;bei den Demonstrationen 1968 in der Bundesrepublik Deutschland;bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland;a
167;Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als „Alliierte Besatzungsmächte“ bezeichnet?;Sowjetunion, Großbritannien, Polen, Schweden;Frankreich, Sowjetunion, Italien, Japan;USA, Sowjetunion, Spanien, Portugal;USA, Sowjetunion, Großbritannien, Frankreich;d
168;Welches Land war keine „Alliierte Besatzungsmacht“ in Deutschland?;USA;Sowjetunion;Frankreich;Japan;d
169;Wann wurde die Bundesrepublik Deutschland gegründet?;1939;1945;1949;1951;c
170;Was gab es während der Zeit des Nationalsozialismus in Deutschland?;das Recht zur freien Entfaltung der Persönlichkeit;Pressefreiheit;das Verbot von Parteien;den Schutz der Menschenwürde;c
171;Soziale Marktwirtschaft bedeutet, die Wirtschaft ...;steuert sich allein nach Angebot und Nachfrage.;wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht berücksichtigt.;richtet sich nach der Nachfrage im Ausland.;richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.;d
172;In welcher Besatzungszone wurde die DDR gegründet? In der ...;amerikanischen Besatzungszone.;französischen Besatzungszone.;britischen Besatzungszone.;sowjetischen Besatzungszone.;d
173;Die Bundesrepublik Deutschland ist ein Gründungsmitglied ...;des Nordatlantikpakts (NATO).;der Vereinten Nationen (VN).;der Europäischen Union (EU).;des Warschauer Pakts.;c
174;Wann wurde die DDR gegründet?;1947;1949;1953;1956;b
175;Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?;3;4;5;6;b
176;Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?;1=Großbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA;1=Sowjetunion, 2=Großbritannien, 3=USA, 4=Frankreich;1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich;1=Großbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich;c
177;Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?;München;Berlin;Dresden;Frankfurt/Oder;b
178;Vom Juni 1948 bis zum Mai 1949 wurden die Bürger und Bürgerinnen von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?;Für Frankreich war eine Versorgung der West-Berliner Bevölkerung mit dem Flugzeug kostengünstiger.;Die amerikanischen Soldaten / Soldatinnen hatten beim Landtransport Angst vor Überfällen.;Für Großbritannien war die Versorgung über die Luftbrücke schneller.;Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.;d
179;Wie endete der Zweite Weltkrieg in Europa offiziell?;mit dem Tod Adolf Hitlers;durch die bedingungslose Kapitulation Deutschlands;mit dem Rückzug der Deutschen aus den besetzten Gebieten;durch eine Revolution in Deutschland;b
180;Der erste Bundeskanzler der Bundesrepublik Deutschland war ...;Ludwig Erhard.;Willy Brandt.;Konrad Adenauer.;Gerhard Schröder.;c
181;Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?;Er hat sich den ehemaligen Alliierten unterworfen.;Er bat Polen und die polnischen Juden um Vergebung.;Er zeigte seine Demut vor dem Warschauer Pakt.;Er sprach ein Gebet am Grab des Unbekannten Soldaten.;b
182;Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der späteren DDR?;KPD und SPD;SPD und CDU;CDU und FDP;KPD und CSU;a
183;Wann war in der Bundesrepublik Deutschland das „Wirtschaftswunder“?;40er Jahre;50er Jahre;70er Jahre;80er Jahre;b
184;Was nannten die Menschen in Deutschland sehr lange „Die Stunde Null“?;Damit wird die Zeit nach der Wende im Jahr 1989 bezeichnet.;Damit wurde der Beginn des Zweiten Weltkrieges bezeichnet.;Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.;Damit ist die Stunde gemeint, in der die Uhr von der Sommerzeit auf die Winterzeit umgestellt wird.;c
185;Wofür stand der Ausdruck „Eiserner Vorhang“? Für die Abschottung ...;des Warschauer Pakts gegen den Westen.;Norddeutschlands gegen Süddeutschland.;Nazi-Deutschlands gegen die Alliierten.;Europas gegen die USA.;a
186;Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?;1. Mai;17. Juni;20. Juli;9. November;b
187;Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?;Preußen;Bundesrepublik Deutschland;DDR;„Drittes Reich“;c
188;In welchem Jahr wurde die Mauer in Berlin gebaut?;1953;1956;1959;1961;d
189;Wann baute die DDR die Mauer in Berlin?;1919;1933;1961;1990;c
190;Was bedeutet die Abkürzung DDR?;Dritter Deutscher Rundfunk;Die Deutsche Republik;Dritte Deutsche Republik;Deutsche Demokratische Republik;d
191;Wann wurde die Mauer in Berlin für alle geöffnet?;1987;1989;1992;1995;b
192;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Brandenburg;Bayern;Saarland;Hessen;a
193;Von 1961 bis 1989 war Berlin ...;ohne Bürgermeister.;ein eigener Staat.;durch eine Mauer geteilt.;nur mit dem Flugzeug erreichbar.;c
194;Am 3. Oktober feiert man in Deutschland den Tag der Deutschen ...;Einheit.;Nation.;Bundesländer.;Städte.;a
195;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Hessen;Sachsen-Anhalt;Nordrhein-Westfalen;Saarland;b
196;Warum nennt man die Zeit im Herbst 1989 in der DDR „Die Wende“? In dieser Zeit veränderte sich die DDR politisch ...;von einer Diktatur zur Demokratie.;von einer liberalen Marktwirtschaft zum Sozialismus.;von einer Monarchie zur Sozialdemokratie.;von einem religiösen Staat zu einem kommunistischen Staat.;a
197;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Thüringen;Hessen;Bayern;Bremen;a
198;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Bayern;Niedersachsen;Sachsen;Baden-Württemberg;c
199;Mit der Abkürzung „Stasi“ meinte man in der DDR ...;das Parlament.;das Ministerium für Staatssicherheit.;eine regierende Partei.;das Ministerium für Volksbildung.;b
200;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Hessen;Schleswig-Holstein;Mecklenburg-Vorpommern;Saarland;c
201;Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?;Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg;Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen;Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen;Sachsen, Thüringen, Hessen, Niedersachsen, Brandenburg;b
202;Zu wem gehörte die DDR im „Kalten Krieg“?;zu den Westmächten;zum Warschauer Pakt;zur NATO;zu den blockfreien Staaten;b
203;Wie hieß das Wirtschaftssystem der DDR?;Marktwirtschaft;Planwirtschaft;Angebot und Nachfrage;Kapitalismus;b
204;Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?;Die Bundesrepublik Deutschland hat die DDR besetzt.;Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.;Die westlichen Bundesländer sind der DDR beigetreten.;Die DDR hat die Bundesrepublik Deutschland besetzt.;b
205;Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch ...;zur Europäischen Union.;zum Warschauer Pakt.;zur OPEC.;zur Europäischen Verteidigungsgemeinschaft.;a
206;Was bedeutete im Jahr 1989 in Deutschland das Wort „Montagsdemonstration“?;In der Bundesrepublik waren Demonstrationen nur am Montag erlaubt.;Montags waren Demonstrationen gegen das DDR-Regime.;Am ersten Montag im Monat trafen sich in der Bundesrepublik Deutschland Demonstranten.;Montags demonstrierte man in der DDR gegen den Westen.;b
207;In welchem Militärbündnis war die DDR Mitglied?;in der NATO;im Rheinbund;im Warschauer Pakt;im Europabündnis;c
208;Was war die „Stasi“?;der Geheimdienst im „Dritten Reich“;eine berühmte deutsche Gedenkstätte;der Geheimdienst der DDR;ein deutscher Sportverein während des Zweiten Weltkrieges;c
209;Welches war das Wappen der Deutschen Demokratischen Republik?;1;2;3;4;d
210;Was ereignete sich am 17. Juni 1953 in der DDR?;der feierliche Beitritt zum Warschauer Pakt;landesweite Streiks und ein Volksaufstand;der 1. SED-Parteitag;der erste Besuch Fidel Castros;b
211;Welcher Politiker steht für die „Ostverträge“?;Helmut Kohl;Willy Brandt;Michail Gorbatschow;Ludwig Erhard;b
212;Wie heißt Deutschland mit vollem Namen?;Bundesstaat Deutschland;Bundesländer Deutschland;Bundesrepublik Deutschland;Bundesbezirk Deutschland;c
213;Wie viele Einwohner hat Deutschland?;70 Millionen;78 Millionen;80 Millionen;90 Millionen;c
214;Welche Farben hat die deutsche Flagge?;schwarz-rot-gold;rot-weiß-schwarz;schwarz-rot-grün;schwarz-gelb-rot;a
215;Wer wird als „Kanzler der Deutschen Einheit“ bezeichnet?;Gerhard Schröder;Helmut Kohl;Konrad Adenauer;Helmut Schmidt;b
216;Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?;die Fahne der Stadt Berlin.;der Bundesadler.;der Reichsadler.;die Reichskrone.;b
217;In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?;1919 bis 1927;1933 bis 1945;1949 bis 1990;1945 bis 1961;c
218;Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?;4;5;6;7;b
219;Die Bundesrepublik Deutschland hat die Grenzen von heute seit ...;1933.;1949.;1971.;1990.;d
220;Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?;an das Ende des Zweiten Weltkrieges;an die Verabschiedung des Grundgesetzes;an die Wiedervereinigung Deutschlands;an die Opfer des Nationalsozialismus;d
221;Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?;Deutsche können in viele Länder Europas ohne Passkontrolle reisen.;Alle Menschen können ohne Personenkontrolle in Deutschland einreisen.;Deutsche können ohne Passkontrolle in jedes Land reisen.;Deutsche können in jedem Land mit dem Euro bezahlen.;a
222;Welches Land ist ein Nachbarland von Deutschland?;Ungarn;Portugal;Spanien;Schweiz;d
223;Welches Land ist ein Nachbarland von Deutschland?;Rumänien;Bulgarien;Polen;Griechenland;c
224;Was bedeutet die Abkürzung EU?;Europäische Unternehmen;Europäische Union;Einheitliche Union;Euro Union;b
225;In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?;Tschechien;Norwegen;Spanien;Österreich;d
226;Welche ist die Flagge der Europäischen Union?;2;1;4;3;a
227;Welches Land ist ein Nachbarland von Deutschland?;Finnland;Dänemark;Norwegen;Schweden;b
228;Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?;NATO-Osterweiterung;EU-Osterweiterung;Europäische Gemeinschaft;Deutsche Wiedervereinigung;d
229;Welches Land ist ein Nachbarland von Deutschland?;Spanien;Bulgarien;Norwegen;Luxemburg;d
230;Das Europäische Parlament wird regelmäßig gewählt, nämlich alle ...;5 Jahre.;6 Jahre.;7 Jahre.;8 Jahre.;a
231;Was bedeutet der Begriff „europäische Integration“?;Damit sind amerikanische Einwanderer in Europa gemeint.;Der Begriff meint den Einwanderungsstopp nach Europa.;Damit sind europäische Auswanderer in den USA gemeint.;Der Begriff meint den Zusammenschluss europäischer Staaten zur EU.;d
232;Wer wird bei der Europawahl gewählt?;die Europäische Kommission;die Länder, die in die EU eintreten dürfen;die europäische Verfassung;die Abgeordneten des Europäischen Parlaments;d
233;Welches Land ist ein Nachbarland von Deutschland?;Tschechien;Bulgarien;Griechenland;Portugal;a
234;Wo ist der Sitz des Europäischen Parlaments?;London;Paris;Berlin;Straßburg;d
235;Der französische Staatspräsident François Mitterrand und der deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?;Freundschaft zwischen England und Deutschland;Reisefreiheit in alle Länder der EU;Frieden und Sicherheit in den Ländern der EU;einheitliche Feiertage in den Ländern der EU;c
236;Wie viele Mitgliedstaaten hat die EU heute?;21;23;25;28;d
237;2007 wurde das 50-jährige Jubiläum der „Römischen Verträge“ gefeiert. Was war der Inhalt der Verträge?;Beitritt Deutschlands zur NATO;Gründung der Europäischen Wirtschaftsgemeinschaft (EWG);Verpflichtung Deutschlands zu Reparationsleistungen;Festlegung der Oder-Neiße-Linie als Ostgrenze;b
238;An welchen Orten arbeitet das Europäische Parlament?;Paris, London und Den Haag;Straßburg, Luxemburg und Brüssel;Rom, Bern und Wien;Bonn, Zürich und Mailand;b
239;Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?;durch die „Hamburger Verträge“;durch die „Römischen Verträge“;durch die „Pariser Verträge“;durch die „Londoner Verträge“;b
240;Seit wann bezahlt man in Deutschland mit dem Euro in bar?;1995;1998;2002;2005;c
241;Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?;Sie muss an ihre Krankenkasse schreiben.;Sie muss nichts tun, denn sie bekommt automatisch Elterngeld.;Sie muss einen Antrag bei der Elterngeldstelle stellen.;Sie muss das Arbeitsamt um Erlaubnis bitten.;c
242;Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?;der Staat;die Bundesländer;die Eltern/die Erziehungsberechtigten;die Schulen;c
243;Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?;Sie müssen nichts tun. Man darf in Deutschland jederzeit überall demonstrieren.;Sie müssen die Demonstration anmelden.;Sie können gar nichts tun, denn Demonstrationen sind in Deutschland grundsätzlich verboten.;Maik und Sybille müssen einen neuen Verein gründen, weil nur Vereine demonstrieren dürfen.;b
244;Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?;das Abitur;ein Diplom;die Prokura;eine Gesellenprüfung;a
245;Wer darf in Deutschland nicht als Paar zusammenleben?;Hans (20 Jahre) und Marie (19 Jahre);Tom (20 Jahre) und Klaus (45 Jahre);Sofie (35 Jahre) und Lisa (40 Jahre);Anne (13 Jahre) und Tim (25 Jahre);d
246;Ab welchem Alter ist man in Deutschland volljährig?;16;18;19;21;b
247;Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders geschützt. Wie heißt dieser Schutz?;Elternzeit;Geburtsvorbereitung;Mutterschutz;Wochenbett;c
248;Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe ...;des Staates.;der Eltern.;der Großeltern.;der Schulen.;b
249;Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?;der Staat;die Eltern;die Verwandten;die Schulen;b
250;In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man ...;katholisch ist.;gut ausgebildet ist.;eine Frau ist.;Mitglied einer Partei ist.;b
251;Wenn man in Deutschland ein Kind schlägt, ...;geht das niemanden etwas an.;geht das nur die Familie etwas an.;kann man dafür nicht bestraft werden.;kann man dafür bestraft werden.;d
252;In Deutschland ...;darf man zur gleichen Zeit nur mit einem Partner / einer Partnerin verheiratet sein.;kann man mehrere Ehepartner / Ehepartnerinnen gleichzeitig haben.;darf man nicht wieder heiraten, wenn man einmal verheiratet war.;darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.;a
253;Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?;beim Einwohnermeldeamt;beim Standesamt;beim Ordnungsamt;beim Gewerbeamt;a
254;In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das „Trennungsjahr“ einhalten. Was bedeutet das?;Der Scheidungsprozess dauert ein Jahr.;Mann und Frau sind ein Jahr verheiratet, dann ist die Scheidung möglich.;Das Besuchsrecht für die Kinder gilt ein Jahr.;Mann und Frau führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.;d
255;Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom ...;Ordnungsamt.;Schulamt.;Jugendamt.;Gesundheitsamt.;c
256;Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?;eine Erlaubnis der Polizei;eine Genehmigung einer Partei;eine Genehmigung des Einwohnermeldeamts;eine Gaststättenerlaubnis von der zuständigen Behörde;d
257;Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an ...;einer Hochschule.;einem Abendgymnasium.;einer Hauptschule.;einer Privatuniversität.;b
258;Was darf das Jugendamt in Deutschland?;Es entscheidet, welche Schule das Kind besucht.;Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.;Es bezahlt das Kindergeld an die Eltern.;Es kontrolliert, ob das Kind einen Kindergarten besucht.;b
259;Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der ...;Rentenberechnung.;Lehrstellensuche.;Steuererklärung.;Krankenversicherung.;b
260;In Deutschland hat ein Kind in der Schule ...;Recht auf unbegrenzte Freizeit.;Wahlfreiheit für alle Fächer.;Anspruch auf Schulgeld.;Anwesenheitspflicht.;d
261;Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An ...;einer Hochschule;einem Abendgymnasium;einer Hauptschule;einer Privatuniversität;b
262;Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?;Niemand darf z. B. wegen einer Behinderung benachteiligt werden.;Man darf andere Personen benachteiligen, wenn ausreichende persönliche Gründe hierfür vorliegen.;Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.;Es ist für alle Gesetz, benachteiligten Gruppen jährlich Geld zu spenden.;a
263;In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, ...;werden bestraft.;werden wie Erwachsene behandelt.;teilen die Strafe mit ihren Eltern.;werden nicht bestraft.;a
264;Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?;am Rosenmontag;am Maifeiertag;beim Oktoberfest;an Pfingsten;a
265;Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?;zum Einwohnermeldeamt;zum Ordnungsamt;zur Agentur für Arbeit;zum Standesamt;d
266;Wann beginnt die gesetzliche Nachtruhe in Deutschland?;wenn die Sonne untergeht;um 22 Uhr;wenn die Nachbarn schlafen gehen;um 0 Uhr, Mitternacht;b
267;Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?;Sie müssen die Entscheidung der volljährigen Tochter respektieren.;Sie haben das Recht, die Tochter in die elterliche Wohnung zurückzuholen.;Sie können zur Polizei gehen und die Tochter anzeigen.;Sie suchen einen anderen Mann für die Tochter.;a
268;Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?;Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den Führerschein machen kann.;Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.;Wenn sie kein Deutsch kann, darf sie keinen Führerschein haben.;Sie muss den Führerschein in dem Land machen, in dem man ihre Sprache spricht.;b
269;In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf ...;monatliches Taschengeld.;einen Kindergartenplatz.;einen Platz in einem Sportverein.;einen Ferienpass.;b
270;Die Volkshochschule in Deutschland ist eine Einrichtung ...;für den Religionsunterricht.;nur für Jugendliche.;zur Weiterbildung.;nur für Rentner und Rentnerinnen.;c
271;Was ist in Deutschland ein Brauch zu Weihnachten?;bunte Eier verstecken;einen Tannenbaum schmücken;sich mit Masken und Kostümen verkleiden;Kürbisse vor die Tür stellen;b
272;Welche Lebensform ist in Deutschland nicht erlaubt?;Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.;Zwei Frauen leben zusammen.;Ein allein erziehender Vater lebt mit seinen zwei Kindern zusammen.;Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.;d
273;Bei Erziehungsproblemen gehen Sie in Deutschland ...;zum Arzt / zur Ärztin.;zum Gesundheitsamt.;zum Einwohnermeldeamt.;zum Jugendamt.;d
274;Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?;das Schweigerecht;das Briefgeheimnis;die Schweigepflicht;die Meinungsfreiheit;b
275;Was braucht man in Deutschland für eine Ehescheidung?;die Einwilligung der Eltern;ein Attest eines Arztes / einer Ärztin;die Einwilligung der Kinder;die Unterstützung eines Anwalts / einer Anwältin;d
276;Was sollten Sie tun, wenn Sie von Ihrem Ansprechpartner / Ihrer Ansprechpartnerin in einer deutschen Behörde schlecht behandelt werden?;Ich kann nichts tun.;Ich muss mir diese Behandlung gefallen lassen.;Ich drohe der Person.;Ich kann mich beim Behördenleiter / bei der Behördenleiterin beschweren.;d
277;Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...;kein Englisch spricht.;zu hohe Gehaltsvorstellungen hat.;keine Erfahrungen in diesem Beruf hat.;Mutter ist.;d
278;Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...;im Rollstuhl sitzt.;keine Erfahrung hat.;zu hohe Gehaltsvorstellungen hat.;kein Englisch spricht.;a
279;In den meisten Mietshäusern in Deutschland gibt es eine „Hausordnung“. Was steht in einer solchen „Hausordnung“? Sie nennt ...;Regeln für die Benutzung öffentlicher Verkehrsmittel.;alle Mieter und Mieterinnen im Haus.;Regeln, an die sich alle Bewohner und Bewohnerinnen halten müssen.;die Adresse des nächsten Ordnungsamtes.;c
